State,Abbreviation,Final Law,Signed,Years Since Present,Enacted
Alabama,AL,Ala. Stat. § 8-38-1 et seq.,2018,6,2018
Alaska,AK,"Alaska Stat. § 45.48.010
et seq.",2008,16,2008
Arizona,AZ,Ariz. Rev. Stat. § 18-551 et seq. ,2006,18,2006
Arkansas,AR,"Ark. Code § 4-110-101 et seq.
",2005,19,2005
California,CA,Cal. Civ. Code § 1798.29; 1798.82 et seq.,2002,22,2003
Colorado,CO,Colo. Rev. Stat. § 6-1-716,2006,18,2006
Connecticut,CT,Conn. Gen. Stat. § 36a-701b,2005,19,2006
Delaware,DE,Del. Code Ann. tit. 6 § 12B101 et seq.,2005,19,2005
District of Columbia,DC,D.C. Code § 28-3851 et seq.,2007,17,2007
Florida,FL,FLA. STAT. § 501.171,2014,10,2014
Georgia,GA,Ga. Code § 10-1-910 et seq.,2005,19,2005
Hawaii,HI,H.R.S. § 487N-1 et seq.,2006,18,2007
Idaho,ID,Idaho Code § 28-51-104 et seq.,2006,18,2006
Illinois,IL,"815 Ill. Comp. Stat. 530/5, 530/10, 530/12, 530/15, 530/20, 530/25",2005,19,2006
Indiana,IN,Ind. Code § 4-1-11 et seq.; § 24-4.9-1 et seq.,2005,19,2006
Iowa,IA,Iowa Code § 715C.1-2,2008,16,2008
Kansas,KS,Kan. Stat. § 50-7a01 et seq.,2006,18,2006
Kentucky,KY,KY REV. STAT. §365.732,2014,10,2014
Louisiana,LA,La. Rev. Stat. § 51:3071 et seq.,2005,19,2006
Maine,ME,10 ME. REV. STAT. § 1346 et seq.,2005,19,2005
Maryland,MD,Md. Code Com. Law § 14- 3501 et seq.,2007,17,2008
Massachusetts,MA,Mass. Gen. Laws 93H § 1 et seq.,2007,17,2007
Michigan,MI,"Mich. Comp. Laws § 445.63, 72 et seq.",2004,20,2005
Minnesota,MN,Minn. Stat. § 325E.61 and 325E.64,2005,19,2006
Mississippi,MS,Miss. Code § 75-24-29,2010,14,2011
Missouri,MO,Mo. Rev. Stat. § 407.1500 ,2009,15,2009
Montana,MT,"Mont. Code § 2-6-1501 et seq, 30-14-1701 et seq., 33-19-321",2005,19,2005
Nebraska,NE,"Neb. Rev. Stat. § 87-801 et
seq.",2006,18,2006
Nevada,NV,"Nev. Rev. Stat. § 603A.010 et
seq., 242.183",2005,19,2005
New Hampshire,NH,N.H. Rev. Stat. § 359-C:19 et seq. ,2006,18,2007
New Jersey,NJ,N.J. Stat. § 56:8-161 et seq. ,2005,19,2006
New Mexico,NM,N.M. STAT. 57-12C-1 et seq.,2017,7,2017
New York,NY,N.Y. Gen. Bus. Law § 899-aa,2005,19,2005
North Carolina,NC,"N.C. Gen. Stat. §§ 75-61, 75- 65",2005,19,2005
North Dakota,ND,N.D. Cent. Code § 51-30-01 et seq.,2005,19,2005
Ohio,OH,"Ohio Rev. Code, 1347.12, 1349.19",2005,19,2006
Oklahoma,OK,"24 Okla. Stat. § 161 et seq., § 74-3113.1",2008,16,2008
Oregon,OR,"Or. Rev. Stat. §§ 646A.600, 646A.602, 646A.604, 646A.624, 646A.626",2007,17,2007
Pennsylvania,PA,73 Pa. Stat. § 2301 et seq.,2005,19,2006
Puerto Rico,PR,10 L.P.R.A. ST § 4051 et seq,2005,19,2006
Rhode Island,RI,R.I. Gen. Laws § 11- 49.3-4 et seq.,2015,9,2015
South Carolina,SC,S.C. Code § 39-1-90,2008,16,2009
South Dakota,SD,S.D. CODE 22-40-20 et seq.,2018,6,2018
Tennessee,TN,Tenn. Code § 47-18-2107,2005,19,2005
Texas,TX,"TEX. BUS. & COM. CODE §§ 521.002, 521.053 ",2007,17,2009
Utah,UT,"Utah Code §§ 13-44-101, et seq.",2006,18,2007
Vermont,VT,"9 V.S.A. §§ 2430, 2435 ",2005,19,2007
Virginia,VA,Va. Code § 18.2-186.6 ,2008,16,2008
Washington,WA,"Wash. Rev. Code § 19.255.010 et seq., § 42.56.590 ",2005,19,2005
West Virginia,WV,W. VA. Code § 46A-2A-101 et seq. ,2008,16,2008
Wisconsin,WI,Wis. Stat. § 134.98,2006,18,2006
Wyoming,WY,Wyo. Stat. § 40-12-501 et seq.,2007,17,2007